
=== 涨幅榜前20名股票 ===

      股票代码                           公司名称  市值(亿)                            板块                           昨天收盘                          今天收盘  涨跌幅(%)
3104      SGHC                                    SGHC Ltd      39.61     Hotels, Restaurants & Leisure     2025-01-23 6.809999942779541    2025-01-24 7.900000095367432      16.01
10855    JDCMF                                  JD.Com Inc    4329.14                            Retail                  2025-01-23 19.0   2025-01-24 21.989999771118164      15.74
2074       DAN                                    Dana Inc      22.04                   Auto Components    2025-01-23 13.229999542236328   2025-01-24 15.199999809265137      14.89
10677    NDRBF                          Nibe Industrier AB     889.09                          Building                   2025-01-23 3.5    2025-01-24 4.019999980926514      14.86
1130     PLLIF                             Pirelli & C SpA      58.28                   Auto Components    2025-01-23 5.2820000648498535    2025-01-24 6.059999942779541      14.73
170      RMSYF                      Ramsay Health Care Ltd      75.41                       Health Care                  2025-01-23 19.0     2025-01-24 21.3799991607666      12.53
2965     CHGCF                Chugai Pharmaceutical Co Ltd  107962.12                   Pharmaceuticals      2025-01-23 39.7599983215332     2025-01-24 44.4900016784668      11.90
4327     ACKDF          Auckland International Airport Ltd     146.29     Transportation Infrastructure     2025-01-23 4.690000057220459    2025-01-24 5.239999771118164      11.73
6420     EGFEF  Eurobank Ergasias Services and Holdings SA      87.87                           Banking     2025-01-23 2.390000104904175   2025-01-24 2.6700000762939453      11.72
2071     BBRYF                          Burberry Group PLC      38.18  Textiles, Apparel & Luxury Goods      2025-01-23 13.3100004196167   2025-01-24 14.850000381469727      11.57
4367     IBIDF                               Ibiden Co Ltd    7086.52              Electrical Equipment    2025-01-23 30.110000610351562                 2025-01-24 33.5      11.26

=== 市值超过50亿的涨幅榜前20名股票 ===

      股票代码                                    公司名称   市值(亿)                           板块                        昨天收盘                       今天收盘  涨跌幅(%)
7198     EUZOF                                  Eurazeo SE      57.63             Financial Services    2025-01-23 58.63999938964844                2025-01-24 82.0      39.84
3786     COSXF                                Cosel Co Ltd     437.64           Electrical Equipment                 2025-01-23 5.75   2025-01-24 7.010000228881836      21.91
5053     BYDIF         BYD Electronic International Co Ltd     910.29                 Communications    2025-01-23 4.650000095367432                 2025-01-24 5.5      18.28
2491     IPCEF                                  ispace Inc     659.69            Aerospace & Defense    2025-01-23 4.135000228881836   2025-01-24 4.889999866485596      18.26
12760     MIDD                               Middleby Corp      91.30                      Machinery   2025-01-23 145.64999389648438  2025-01-24 169.72000122070312      16.53
7652     SNPTF       Sunny Optical Technology Group Co Ltd     738.41           Electrical Equipment    2025-01-23 7.599999904632568    2025-01-24 8.84000015258789      16.32
10855    JDCMF                                  JD.Com Inc    4329.14                         Retail                 2025-01-23 19.0  2025-01-24 21.989999771118164      15.74
10677    NDRBF                          Nibe Industrier AB     889.09                       Building                  2025-01-23 3.5   2025-01-24 4.019999980926514      14.86
1130     PLLIF                             Pirelli & C SpA      58.28                Auto Components   2025-01-23 5.2820000648498535   2025-01-24 6.059999942779541      14.73
170      RMSYF                      Ramsay Health Care Ltd      75.41                    Health Care                 2025-01-23 19.0    2025-01-24 21.3799991607666      12.53
2965     CHGCF                Chugai Pharmaceutical Co Ltd  107962.12                Pharmaceuticals     2025-01-23 39.7599983215332    2025-01-24 44.4900016784668      11.90
4327     ACKDF          Auckland International Airport Ltd     146.29  Transportation Infrastructure    2025-01-23 4.690000057220459   2025-01-24 5.239999771118164      11.73
6420     EGFEF  Eurobank Ergasias Services and Holdings SA      87.87                        Banking    2025-01-23 2.390000104904175  2025-01-24 2.6700000762939453      11.72
4367     IBIDF                               Ibiden Co Ltd    7086.52           Electrical Equipment   2025-01-23 30.110000610351562                2025-01-24 33.5      11.26
9835     GNZUF           Guangzhou Automobile Group Co Ltd     704.65                    Automobiles  2025-01-23 0.36000001430511475  2025-01-24 0.4000000059604645      11.11
7866     BAIDF                                   Baidu Inc     287.30                          Media   2025-01-23 10.281000137329102  2025-01-24 11.399999618530273      10.88
7089     NHOLF                          Sompo Holdings Inc   41533.33                      Insurance   2025-01-23 24.360000610351562  2025-01-24 26.915000915527344      10.49
10128    MCRPF                   Microport Scientific Corp     106.00                    Health Care   2025-01-23 0.7350000143051147  2025-01-24 0.8100000023841858      10.20
4621     SNTMF                         SenseTime Group Inc     529.21                     Technology  2025-01-23 0.14069999754428864  2025-01-24 0.1550000011920929      10.16
11219    CHEOF                                Cochlear Ltd     204.09                    Health Care   2025-01-23 188.63999938964844  2025-01-24 207.61000061035156      10.06

=== 市值超过100亿的涨幅榜前20名股票 ===

      股票代码                               公司名称   市值(亿)                           板块                        昨天收盘                       今天收盘  涨跌幅(%)
3786     COSXF                           Cosel Co Ltd     437.64           Electrical Equipment                 2025-01-23 5.75   2025-01-24 7.010000228881836      21.91
5053     BYDIF    BYD Electronic International Co Ltd     910.29                 Communications    2025-01-23 4.650000095367432                 2025-01-24 5.5      18.28
2491     IPCEF                             ispace Inc     659.69            Aerospace & Defense    2025-01-23 4.135000228881836   2025-01-24 4.889999866485596      18.26
7652     SNPTF  Sunny Optical Technology Group Co Ltd     738.41           Electrical Equipment    2025-01-23 7.599999904632568    2025-01-24 8.84000015258789      16.32
10855    JDCMF                             JD.Com Inc    4329.14                         Retail                 2025-01-23 19.0  2025-01-24 21.989999771118164      15.74
10677    NDRBF                     Nibe Industrier AB     889.09                       Building                  2025-01-23 3.5   2025-01-24 4.019999980926514      14.86
2965     CHGCF           Chugai Pharmaceutical Co Ltd  107962.12                Pharmaceuticals     2025-01-23 39.7599983215332    2025-01-24 44.4900016784668      11.90
4327     ACKDF     Auckland International Airport Ltd     146.29  Transportation Infrastructure    2025-01-23 4.690000057220459   2025-01-24 5.239999771118164      11.73
4367     IBIDF                          Ibiden Co Ltd    7086.52           Electrical Equipment   2025-01-23 30.110000610351562                2025-01-24 33.5      11.26
9835     GNZUF      Guangzhou Automobile Group Co Ltd     704.65                    Automobiles  2025-01-23 0.36000001430511475  2025-01-24 0.4000000059604645      11.11
7866     BAIDF                              Baidu Inc     287.30                          Media   2025-01-23 10.281000137329102  2025-01-24 11.399999618530273      10.88
7089     NHOLF                     Sompo Holdings Inc   41533.33                      Insurance   2025-01-23 24.360000610351562  2025-01-24 26.915000915527344      10.49
10128    MCRPF              Microport Scientific Corp     106.00                    Health Care   2025-01-23 0.7350000143051147  2025-01-24 0.8100000023841858      10.20
4621     SNTMF                    SenseTime Group Inc     529.21                     Technology  2025-01-23 0.14069999754428864  2025-01-24 0.1550000011920929      10.16
11219    CHEOF                           Cochlear Ltd     204.09                    Health Care   2025-01-23 188.63999938964844  2025-01-24 207.61000061035156      10.06
11909    BRCTF                           BioArctic AB     176.12                  Biotechnology   2025-01-23 17.850000381469727  2025-01-24 19.600000381469727       9.80
12370    MIELF               Mitsubishi Electric Corp   55962.18           Electrical Equipment   2025-01-23 15.824999809265137  2025-01-24 17.350000381469727       9.64
7259     FMCQF              Fresenius Medical Care AG     136.76                    Health Care    2025-01-23 44.45000076293945               2025-01-24 47.75       7.42
10710    DOGEF                            Oersted A/S    1079.16                      Utilities                 2025-01-23 35.5   2025-01-24 38.13199996948242       7.41
2524     BABAF              Alibaba Group Holding Ltd    2024.65                         Retail   2025-01-23 10.612000465393066  2025-01-24 11.350000381469727       6.95

=== 市值超过200亿的涨幅榜前20名股票 ===

      股票代码                                            公司名称   市值(亿)                  板块                        昨天收盘                       今天收盘  涨跌幅(%)
3786     COSXF                                        Cosel Co Ltd     437.64  Electrical Equipment                 2025-01-23 5.75   2025-01-24 7.010000228881836      21.91
5053     BYDIF                 BYD Electronic International Co Ltd     910.29        Communications    2025-01-23 4.650000095367432                 2025-01-24 5.5      18.28
2491     IPCEF                                          ispace Inc     659.69   Aerospace & Defense    2025-01-23 4.135000228881836   2025-01-24 4.889999866485596      18.26
7652     SNPTF               Sunny Optical Technology Group Co Ltd     738.41  Electrical Equipment    2025-01-23 7.599999904632568    2025-01-24 8.84000015258789      16.32
10855    JDCMF                                          JD.Com Inc    4329.14                Retail                 2025-01-23 19.0  2025-01-24 21.989999771118164      15.74
10677    NDRBF                                  Nibe Industrier AB     889.09              Building                  2025-01-23 3.5   2025-01-24 4.019999980926514      14.86
2965     CHGCF                        Chugai Pharmaceutical Co Ltd  107962.12       Pharmaceuticals     2025-01-23 39.7599983215332    2025-01-24 44.4900016784668      11.90
4367     IBIDF                                       Ibiden Co Ltd    7086.52  Electrical Equipment   2025-01-23 30.110000610351562                2025-01-24 33.5      11.26
9835     GNZUF                   Guangzhou Automobile Group Co Ltd     704.65           Automobiles  2025-01-23 0.36000001430511475  2025-01-24 0.4000000059604645      11.11
7866     BAIDF                                           Baidu Inc     287.30                 Media   2025-01-23 10.281000137329102  2025-01-24 11.399999618530273      10.88
7089     NHOLF                                  Sompo Holdings Inc   41533.33             Insurance   2025-01-23 24.360000610351562  2025-01-24 26.915000915527344      10.49
4621     SNTMF                                 SenseTime Group Inc     529.21            Technology  2025-01-23 0.14069999754428864  2025-01-24 0.1550000011920929      10.16
11219    CHEOF                                        Cochlear Ltd     204.09           Health Care   2025-01-23 188.63999938964844  2025-01-24 207.61000061035156      10.06
12370    MIELF                            Mitsubishi Electric Corp   55962.18  Electrical Equipment   2025-01-23 15.824999809265137  2025-01-24 17.350000381469727       9.64
10710    DOGEF                                         Oersted A/S    1079.16             Utilities                 2025-01-23 35.5   2025-01-24 38.13199996948242       7.41
2524     BABAF                           Alibaba Group Holding Ltd    2024.65                Retail   2025-01-23 10.612000465393066  2025-01-24 11.350000381469727       6.95
6795     GCHEF                  Grupo Comercial Chedraui SAB de CV    1274.13                Retail    2025-01-23 5.800000190734863   2025-01-24 6.199999809265137       6.90
595      MGDDF  Compagnie Generale des Etablissements Michelin SCA     235.86       Auto Components    2025-01-23 34.84000015258789  2025-01-24 37.150001525878906       6.63
5799     FANUF                                          Fanuc Corp   43991.86             Machinery   2025-01-23 28.170000076293945                2025-01-24 30.0       6.50
5714     XIACF                                         Xiaomi Corp    8651.16            Technology    2025-01-23 4.449999809265137   2025-01-24 4.735000133514404       6.40

=== 市值超过1000亿的涨幅榜前20名股票 ===

      股票代码                                 公司名称   市值(亿)                           板块                       昨天收盘                       今天收盘  涨跌幅(%)
10855    JDCMF                               JD.Com Inc    4329.14                         Retail                2025-01-23 19.0  2025-01-24 21.989999771118164      15.74
2965     CHGCF             Chugai Pharmaceutical Co Ltd  107962.12                Pharmaceuticals    2025-01-23 39.7599983215332    2025-01-24 44.4900016784668      11.90
4367     IBIDF                            Ibiden Co Ltd    7086.52           Electrical Equipment  2025-01-23 30.110000610351562                2025-01-24 33.5      11.26
7089     NHOLF                       Sompo Holdings Inc   41533.33                      Insurance  2025-01-23 24.360000610351562  2025-01-24 26.915000915527344      10.49
12370    MIELF                 Mitsubishi Electric Corp   55962.18           Electrical Equipment  2025-01-23 15.824999809265137  2025-01-24 17.350000381469727       9.64
10710    DOGEF                              Oersted A/S    1079.16                      Utilities                2025-01-23 35.5   2025-01-24 38.13199996948242       7.41
2524     BABAF                Alibaba Group Holding Ltd    2024.65                         Retail  2025-01-23 10.612000465393066  2025-01-24 11.350000381469727       6.95
6795     GCHEF       Grupo Comercial Chedraui SAB de CV    1274.13                         Retail   2025-01-23 5.800000190734863   2025-01-24 6.199999809265137       6.90
5799     FANUF                               Fanuc Corp   43991.86                      Machinery  2025-01-23 28.170000076293945                2025-01-24 30.0       6.50
5714     XIACF                              Xiaomi Corp    8651.16                     Technology   2025-01-23 4.449999809265137   2025-01-24 4.735000133514404       6.40
3349     ZIJMF                Zijin Mining Group Co Ltd    4077.31                Metals & Mining  2025-01-23 1.8799999952316284                 2025-01-24 2.0       6.38
6837     OPHLF                Ono Pharmaceutical Co Ltd    7507.31                Pharmaceuticals  2025-01-23 10.373000144958496  2025-01-24 11.010000228881836       6.14
853      NONOF                         Novo Nordisk A/S   25763.72                Pharmaceuticals                2025-01-23 83.0   2025-01-24 88.01000213623047       6.04
7774     RINIF                              Rinnai Corp    4875.55              Consumer products                2025-01-23 21.0  2025-01-24 22.200000762939453       5.71
10537    DQJCF  Pan Pacific International Holdings Corp   24503.56                         Retail  2025-01-23 25.809999465942383  2025-01-24 27.239999771118164       5.54
1398     NURAF            Nomura Research Institute Ltd   26422.45                     Technology  2025-01-23 28.594999313354492    2025-01-24 30.1200008392334       5.33
2885     CHBJF                China Citic Bank Corp Ltd    3370.03                        Banking   2025-01-23 0.705299973487854  2025-01-24 0.7421000003814697       5.22
6709       NEE                       Nextera Energy Inc    1497.68                      Utilities    2025-01-23 69.2300033569336   2025-01-24 72.83000183105469       5.20
780      MHVYF          Mitsubishi Heavy Industries Ltd   76163.00                      Machinery  2025-01-23 14.449999809265137    2025-01-24 15.1899995803833       5.12
785      MTPLF                           Metaplanet Inc    1447.02  Hotels, Restaurants & Leisure    2025-01-23 26.6299991607666  2025-01-24 27.850000381469727       4.58
